Page,Date,Views,Page_Name,Project,Access,Agent,Year,Month,DayOfWeek,DayOfWeekName,Quarter,WeekOfYear
2NE1_zh.wikipedia.org_all-access_spider,2015-07-01,18.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
2PM_zh.wikipedia.org_all-access_spider,2015-07-01,11.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
3C_zh.wikipedia.org_all-access_spider,2015-07-01,1.0,3C,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
4minute_zh.wikipedia.org_all-access_spider,2015-07-01,35.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-01,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
5566_zh.wikipedia.org_all-access_spider,2015-07-01,12.0,5566,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
91Days_zh.wikipedia.org_all-access_spider,2015-07-01,,91Days,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-01,118.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
AKB48_zh.wikipedia.org_all-access_spider,2015-07-01,5.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27
2NE1_zh.wikipedia.org_all-access_spider,2015-07-02,11.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
2PM_zh.wikipedia.org_all-access_spider,2015-07-02,14.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
3C_zh.wikipedia.org_all-access_spider,2015-07-02,0.0,3C,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
4minute_zh.wikipedia.org_all-access_spider,2015-07-02,13.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-02,,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
5566_zh.wikipedia.org_all-access_spider,2015-07-02,7.0,5566,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
91Days_zh.wikipedia.org_all-access_spider,2015-07-02,,91Days,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27
