Page,Date,Views,Page_Name,Project,Access,Agent,Year,Month,DayOfWeek,DayOfWeekName,Quarter,WeekOfYear,Day,DayOfYear,IsWeekend,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,Views_lag_1,Views_lag_7,Views_lag_14,Views_lag_30,Views_rolling_mean_7,Views_rolling_std_7,Views_rolling_min_7,Views_rolling_max_7,Views_rolling_mean_14,Views_rolling_std_14,Views_rolling_min_14,Views_rolling_max_14,Views_rolling_mean_30,Views_rolling_std_30,Views_rolling_min_30,Views_rolling_max_30,Views_diff_1,Views_diff_7,Views_pct_change_1,Views_pct_change_7
2NE1_zh.wikipedia.org_all-access_spider,2015-07-01,18.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
2PM_zh.wikipedia.org_all-access_spider,2015-07-01,11.0,2PM,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
3C_zh.wikipedia.org_all-access_spider,2015-07-01,1.0,3C,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
4minute_zh.wikipedia.org_all-access_spider,2015-07-01,35.0,4minute,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-01,5.0,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
5566_zh.wikipedia.org_all-access_spider,2015-07-01,12.0,5566,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
91Days_zh.wikipedia.org_all-access_spider,2015-07-01,12.0,91Days,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-01,118.0,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
AKB48_zh.wikipedia.org_all-access_spider,2015-07-01,5.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
2NE1_zh.wikipedia.org_all-access_spider,2015-07-02,11.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27,2,183,0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.008606996888688009,-0.9999629591162656,18.0,,,,,,,,,,,,,,,,-7.0,,-0.38888888888888884,
