Page,Date,Views,Page_Name,Project,Access,Agent,Year,Month,DayOfWeek,DayOfWeekName,Quarter,WeekOfYear,Day,DayOfYear,IsWeekend,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,Views_lag_1,Views_lag_7,Views_lag_14,Views_lag_30,Views_rolling_mean_7,Views_rolling_std_7,Views_rolling_min_7,Views_rolling_max_7,Views_rolling_mean_14,Views_rolling_std_14,Views_rolling_min_14,Views_rolling_max_14,Views_rolling_mean_30,Views_rolling_std_30,Views_rolling_min_30,Views_rolling_max_30,Views_diff_1,Views_diff_7,Views_pct_change_1,Views_pct_change_7
2NE1_zh.wikipedia.org_all-access_spider,2015-07-01,0.1485148514851485,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.12871287128712872,0.1188118811881188,0.1188118811881188,0.1188118811881188,0.2148648648648649,0.20396093234659962,0.38888888888888895,0.26595744680851063,0.3151750972762646,0.2679522906527419,0.38461538461538464,0.4065934065934066,0.45611510791366905,0.35971886548822574,0.2727272727272727,0.4,0.518324607329843,0.49710982658959535,0.1085418120203329,0.08656289650982003
2PM_zh.wikipedia.org_all-access_spider,2015-07-01,0.09473684210526316,2PM,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.18547140649149926,0.2554973512947031,0.22500000000000003,0.29761904761904756,0.18336046611258672,0.312724672428354,0.3888888888888889,0.45000000000000007,0.2999821119790113,0.43996103145215376,0.35714285714285715,0.5866666666666667,0.5066666666666667,0.5286624203821656,0.07954545454545453,0.0326797385620915
3C_zh.wikipedia.org_all-access_spider,2015-07-01,0.03225806451612903,3C,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.12903225806451613,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.22471910112359553,0.16813764130050618,0.16666666666666666,0.14285714285714285,0.25217391304347825,0.17872868498185077,0.3333333333333333,0.18518518518518517,0.22360248447204967,0.2054942822174764,0.0,0.16000000000000003,0.41666666666666663,0.4897959183673469,0.0625,0.058823529411764705
4minute_zh.wikipedia.org_all-access_spider,2015-07-01,0.4657534246575342,4minute,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.1643835616438356,0.1643835616438356,0.1506849315068493,0.1506849315068493,0.236,0.24012530015776773,0.24999999999999997,0.27692307692307694,0.3045977011494252,0.33103061790782035,0.4545454545454545,0.40322580645161293,0.41295546558704443,0.47503919752421137,0.5,0.42592592592592593,0.4519230769230769,0.4881889763779528,0.046674445740956826,0.04316546762589928
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-01,0.08771929824561403,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.08771929824561403,0.11546642357945916,0.0,0.5555555555555556,0.018867924528301883,0.18181818181818185,0.0,0.8333333333333333,0.0,0.20427112349117926,0.1242249274003184,1.0,0.057692307692307696,0.5,0.4811320754716981,0.05454545454545455,0.03508771929824561
5566_zh.wikipedia.org_all-access_spider,2015-07-01,0.1896551724137931,5566,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.20689655172413793,0.20689655172413793,0.20689655172413793,0.20689655172413793,0.2915053518560693,0.2893349101300618,0.26086956521739135,0.28,0.2997457513716046,0.3655421075245785,0.2941176470588235,0.3111111111111111,0.3383343539497857,0.4026536009660964,0.2857142857142857,0.33333333333333337,0.47619047619047616,0.5057471264367817,0.08342692122573413,0.03970223325062034
91Days_zh.wikipedia.org_all-access_spider,2015-07-01,0.21568627450980393,91Days,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.21568627450980393,0.21568627450980393,0.21568627450980393,0.19999999999999998,0.21634615384615388,0.0,0.9999999999999999,0.06976744186046513,0.23529411764705888,0.0,0.9999999999999999,0.0,0.23556581986143188,0.0,0.9999999999999999,0.0,0.4545454545454546,0.5061728395061729,0.11650485436893204,0.07510431154381085
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-01,0.5879396984924623,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.17085427135678394,0.17085427135678394,0.16834170854271358,0.1658291457286432,0.29744960204496607,0.3459242739439353,0.13793103448275862,0.4095744680851064,0.33891213389121344,0.4959748942944594,0.1475409836065574,0.6153846153846154,0.3171668040118184,0.6365735735378415,0.1764705882352941,0.6928104575163399,0.49079754601227,0.4860335195530726,0.00810096262484747,0.01574543052191147
AKB48_zh.wikipedia.org_all-access_spider,2015-07-01,0.0,AKB48,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.0,0.35689586789220945,0.2500000000000001,0.06698729810778065,0.5043035382962442,5.551115123125783e-17,0.29545454545454547,0.29545454545454547,0.29545454545454547,0.2840909090909091,0.5080385852090032,0.3445305250452078,0.46875,0.475609756097561,0.5694716242661446,0.5039645560880297,0.52,0.611111111111111,0.6085972850678731,0.5003182824820275,0.5,0.4999999999999999,0.5405405405405406,0.5030674846625767,0.10369955156950673,0.10628253297326913
2NE1_zh.wikipedia.org_all-access_spider,2015-07-02,0.07920792079207921,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27,2,183,0,0.7225209339563143,0.0,0.2500000000000001,0.06698729810778065,0.495696461703756,0.0,0.1485148514851485,0.1188118811881188,0.1188118811881188,0.1188118811881188,0.2148648648648649,0.20396093234659962,0.38888888888888895,0.26595744680851063,0.3151750972762646,0.2679522906527419,0.38461538461538464,0.4065934065934066,0.45611510791366905,0.35971886548822574,0.2727272727272727,0.4,0.48167539267015713,0.49710982658959535,0.06419925357431588,0.08656289650982003
