Page,Date,Views,Page_Name,Project,Access,Agent,Year,Month,DayOfWeek,DayOfWeekName,Quarter,WeekOfYear,Day,DayOfYear,IsWeekend,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,Views_lag_1,Views_lag_7,Views_lag_14,Views_lag_30,Views_rolling_mean_7,Views_rolling_std_7,Views_rolling_min_7,Views_rolling_max_7,Views_rolling_mean_14,Views_rolling_std_14,Views_rolling_min_14,Views_rolling_max_14,Views_rolling_mean_30,Views_rolling_std_30,Views_rolling_min_30,Views_rolling_max_30,Views_diff_1,Views_diff_7,Views_pct_change_1,Views_pct_change_7
2NE1_zh.wikipedia.org_all-access_spider,2015-07-01,-0.11716852679064621,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.25553350921307405,-0.3211039621863666,-0.3080416356792332,-0.29698731220093544,-0.10247585554650965,-0.34157325642571146,0.13456748569520366,-0.21856156603953308,0.0111674696579943,-0.13257542426315982,-0.03949233583977112,0.03824052247066692,0.09821480178470937,-0.1599785252458562,-0.2854522056749859,-0.23585793374278974,-0.0001960647728952581,0.04737333080400219,-0.27208098269972725,-0.2449097989014597
2PM_zh.wikipedia.org_all-access_spider,2015-07-01,-0.7271135821631336,2PM,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.3666553237976222,-0.36015115685769694,-0.355301422096123,-0.3453313449283412,-0.2524496229506309,-0.2699390219109723,-0.03781917994415629,-0.2963788898700093,-0.3750594812694162,-0.2265414671546574,-0.017502963160801292,-0.10351234986307864,-0.2704766402120121,0.034531487079614,-0.08267478455158012,-0.10010072915871522,-0.0008396154360575573,-0.007873058846664739,-0.24820165598432334,-0.2316846879206946
3C_zh.wikipedia.org_all-access_spider,2015-07-01,-1.0424347404199235,3C,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.029754057779698823,-0.36407128294507446,-0.034873783692012564,-0.02964228509285323,-0.15317585425679375,-0.2026298509911473,-0.3315520247448481,-0.26679585186989385,-0.14402137256065314,-0.14192894925900043,0.17089392733421707,-0.1559771887856053,-0.20616162672889374,-0.19894116050750416,-0.72714435917051,-0.34397544008809383,-0.008053997827020605,-0.017602487718397376,-0.26520682705126336,-0.2778625284215823
4minute_zh.wikipedia.org_all-access_spider,2015-07-01,1.8552542044595657,4minute,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.2535665855041704,-0.25005542336634834,-0.33750154164505364,-0.32602679728921297,-0.18882211827510462,-0.2577393375177724,-0.14412486033180344,-0.24018454904945002,-0.09997915138976343,-0.16847781344633336,-0.05677011890101877,-0.050876615349804,0.03007080390605048,-0.06822608191105951,-0.047171305775888774,-0.2375584022252617,0.0032903883916390775,0.0038990722149998213,-0.24617211775112108,-0.24612374530209408
52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,2015-07-01,-0.20941979270799216,52_Hz_I_Love_You,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.20795324055158607,-0.19289547943302982,-0.1775705229968723,-0.1627117212997281,-0.32925599746199846,-0.5586474545597381,0.6440356174112881,-0.5005120218335984,-0.3826390123308513,-0.6242771089383777,0.7548772245943313,-0.5751208442514913,-0.4096811222048655,-0.22246538787040723,0.8323895629972867,-0.47432923244634617,-0.001357124782749926,-0.018559384398381947,-0.17626179694811503,-0.17748567894807
5566_zh.wikipedia.org_all-access_spider,2015-07-01,-0.3603322117926554,5566,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.24151963389312422,-0.23259387276546098,-0.2244320905467193,-0.19905821748126065,-0.24905312574151608,-0.1929845990816991,-0.22780821815988408,-0.29258080955245996,-0.21159342122721,-0.16373173475559058,-0.13687987218520123,-0.263790072025333,-0.15224652292727378,-0.10474889320342247,-0.06974858324629145,-0.3423300392652055,-0.0070419376705079355,-0.019997784686377224,-0.24754283576945507,-0.2189304553223066
91Days_zh.wikipedia.org_all-access_spider,2015-07-01,-0.2284754393122702,91Days,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.23012454470992683,-0.23573108109059826,-0.242248007412548,-0.2543478871961448,-0.4033183373833295,-0.6374820941324256,0.6145504847589998,-0.5966347401823439,-0.4637208571290664,-0.6626858083498081,0.663374285515164,-0.6390370769943543,-0.5221996120881891,-0.6861575573172869,0.6852149182641977,-0.6758212545363991,0.0013051417615275107,0.0048958901975139895,-0.1761096548779574,-0.17937893011490003
A'N'D_zh.wikipedia.org_all-access_spider,2015-07-01,1.7234665362529813,A'N'D,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.30721836890008264,-0.30904825919432116,-0.3168252996376166,-0.31453640609439987,-0.16398460890911365,-0.2591793054493826,-0.2809254805780186,-0.215572305331115,-0.12430562708310283,0.04142044352953164,-0.2515348925740506,0.20850949788560894,-0.12359843800622834,0.20342500950970308,-0.2886017747282494,0.09475959051273417,-0.01728809439575501,-0.011479317459289972,-0.16440737884520482,-0.2509351540477864
AKB48_zh.wikipedia.org_all-access_spider,2015-07-01,-1.7468925462747202,AKB48,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,1.378061208964916,-0.309075601527115,-0.43063040128883584,-1.3033293724080324,0.3265277644052532,-1.4122426511487165,-0.1638650948583434,-0.16185657923688263,-0.1496020534423138,-0.18852665342537026,0.06751899697463762,-0.17990116797432304,0.021581582056878663,-0.101593407638652,0.08990957532272695,-0.04238338095813393,0.08590339838625377,0.26921705739764706,0.0868801031398365,0.04315626805956181,0.12454934517742408,-0.09035658059814293,-0.008716149998488326,0.03012693253708936,-0.22455958367977513,-0.2364021778162858
2NE1_zh.wikipedia.org_all-access_spider,2015-07-02,-0.6032664019458055,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27,2,183,0,0.6132949345356816,-1.2690463363870346,-0.43063040128883584,-1.3033293724080324,0.3009553011802949,-1.4122426511487165,-0.11665660203205554,-0.3211039621863666,-0.3080416356792332,-0.29698731220093544,-0.10247585554650965,-0.34157325642571146,0.13456748569520366,-0.21856156603953308,0.0111674696579943,-0.13257542426315982,-0.03949233583977112,0.03824052247066692,0.09821480178470937,-0.1599785252458562,-0.2854522056749859,-0.23585793374278974,-0.3776207525962671,0.04737333080400219,-0.6046576226794149,-0.2449097989014597
