Page,Date,Views,Page_Name,Project,Access,Agent,Year,Month,DayOfWeek,DayOfWeekName,Quarter,WeekOfYear,Day,DayOfYear,IsWeekend,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,Views_lag_1,Views_lag_7,Views_lag_14,Views_lag_30,Views_rolling_mean_7,Views_rolling_std_7,Views_rolling_min_7,Views_rolling_max_7,Views_rolling_mean_14,Views_rolling_std_14,Views_rolling_min_14,Views_rolling_max_14,Views_rolling_mean_30,Views_rolling_std_30,Views_rolling_min_30,Views_rolling_max_30,Views_diff_1,Views_diff_7,Views_pct_change_1,Views_pct_change_7
2NE1_zh.wikipedia.org_all-access_spider,2015-07-01,18.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,27,1,182,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,0.0086069968886887,-0.9999629591162655,,,,,,,,,,,,,,,,,,,,
2NE1_zh.wikipedia.org_all-access_spider,2015-07-02,11.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,27,2,183,0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.008606996888688009,-0.9999629591162656,18.0,,,,,,,,,,,,,,,,-7.0,,-0.38888888888888884,
2NE1_zh.wikipedia.org_all-access_spider,2015-07-03,5.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,27,3,184,0,-0.433883739117558,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.025818440227132394,-0.9996666485105113,11.0,,,,,,,,,,,,,,,,-6.0,,-0.5454545454545454,
2NE1_zh.wikipedia.org_all-access_spider,2015-07-04,13.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,27,4,185,1,-0.9749279121818237,-0.22252093395631461,-0.4999999999999997,-0.8660254037844387,-0.04302223300453034,-0.9990741151022301,5.0,,,,,,,,,,,,,,,,8.0,,1.6,
2NE1_zh.wikipedia.org_all-access_spider,2015-07-05,14.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,27,5,186,1,-0.78183148246803,0.6234898018587333,-0.4999999999999997,-0.8660254037844387,-0.060213277365792774,-0.9981855344718586,13.0,,,,,,,,,,,,,,,,1.0,,0.07692307692307687,
2NE1_zh.wikipedia.org_all-access_spider,2015-07-06,9.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,28,6,187,0,0.0,1.0,-0.4999999999999997,-0.8660254037844387,-0.07738647923346322,-0.997001169925015,14.0,,,,,,,,,,,,,,,,-5.0,,-0.3571428571428571,
2NE1_zh.wikipedia.org_all-access_spider,2015-07-07,9.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,28,7,188,0,0.7818314824680299,0.6234898018587335,-0.4999999999999997,-0.8660254037844387,-0.09453674981719933,-0.9955213724144751,9.0,,,,11.285714285714286,4.191828786034631,5.0,18.0,,,,,,,,,0.0,,0.0,
2NE1_zh.wikipedia.org_all-access_spider,2015-07-08,22.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,28,8,189,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,-0.11165900712169444,-0.993746580436178,9.0,18.0,,,11.857142857142858,5.367450401216932,5.0,22.0,,,,,,,,,13.0,4.0,1.4444444444444446,0.22222222222222232
2NE1_zh.wikipedia.org_all-access_spider,2015-07-09,26.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,28,9,190,0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.12874817745258066,-0.9916773198992899,22.0,11.0,,,14.0,7.5277265270908105,5.0,26.0,,,,,,,,,4.0,15.0,0.18181818181818188,1.3636363636363638
2NE1_zh.wikipedia.org_all-access_spider,2015-07-10,24.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,28,10,191,0,-0.433883739117558,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.14579919691987445,-0.9893142039703663,26.0,5.0,,,16.714285714285715,7.158079018709926,9.0,26.0,,,,,,,,,-2.0,19.0,-0.07692307692307687,3.8
2NE1_zh.wikipedia.org_all-access_spider,2015-07-11,19.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,28,11,192,1,-0.9749279121818237,-0.22252093395631461,-0.4999999999999997,-0.8660254037844387,-0.1628070129385165,-0.986657932891657,24.0,13.0,,,17.571428571428573,6.996597812678744,9.0,26.0,,,,,,,,,-5.0,6.0,-0.20833333333333337,0.46153846153846145
2NE1_zh.wikipedia.org_all-access_spider,2015-07-12,10.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,28,12,193,1,-0.78183148246803,0.6234898018587333,-0.4999999999999997,-0.8660254037844387,-0.17976658572556217,-0.9837092937736098,19.0,14.0,,,17.0,7.483314773547884,9.0,26.0,,,,,,,,,-9.0,-4.0,-0.4736842105263158,-0.2857142857142857
2NE1_zh.wikipedia.org_all-access_spider,2015-07-13,14.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,29,13,194,0,0.0,1.0,-0.4999999999999997,-0.8660254037844387,-0.19667288979357628,-0.9804691603616321,10.0,9.0,,,17.714285714285715,6.799859942535233,9.0,26.0,,,,,,,,,4.0,5.0,0.3999999999999999,0.5555555555555556
2NE1_zh.wikipedia.org_all-access_spider,2015-07-14,15.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,29,14,195,0,0.7818314824680299,0.6234898018587335,-0.4999999999999997,-0.8660254037844387,-0.21352091543979593,-0.9769384927771819,14.0,9.0,,,18.571428571428573,5.826867164470199,10.0,26.0,14.928571428571429,6.170204905141204,5.0,26.0,,,,,1.0,6.0,0.0714285714285714,0.6666666666666667
2NE1_zh.wikipedia.org_all-access_spider,2015-07-15,8.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,29,15,196,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,-0.23030567023061202,-0.9731183372332621,15.0,22.0,18.0,,16.571428571428573,6.7788185513687385,8.0,26.0,14.214285714285714,6.363097593861891,5.0,26.0,,,,,-7.0,-14.0,-0.4666666666666667,-0.6363636363636364
2NE1_zh.wikipedia.org_all-access_spider,2015-07-16,16.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,29,16,197,0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.24702218048093533,-0.9690098257244064,8.0,26.0,11.0,,15.142857142857142,5.367450401216933,8.0,24.0,14.571428571428571,6.308898303364685,5.0,26.0,,,,,8.0,-10.0,1.0,-0.3846153846153846
2NE1_zh.wikipedia.org_all-access_spider,2015-07-17,8.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,29,17,198,0,-0.433883739117558,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.26366549272800727,-0.9646141756912436,16.0,24.0,5.0,,12.857142857142858,4.2594432902501635,8.0,19.0,14.785714285714286,6.002288940685255,8.0,26.0,,,,,-8.0,-16.0,-0.5,-0.6666666666666667
2NE1_zh.wikipedia.org_all-access_spider,2015-07-18,8.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,29,18,199,1,-0.9749279121818237,-0.22252093395631461,-0.4999999999999997,-0.8660254037844387,-0.28023067519921613,-0.9599326896597447,8.0,19.0,13.0,,11.285714285714286,3.5923198500080553,8.0,16.0,14.428571428571429,6.259937155180808,8.0,26.0,,,,,0.0,-11.0,0.0,-0.5789473684210527
2NE1_zh.wikipedia.org_all-access_spider,2015-07-19,16.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,29,19,200,1,-0.78183148246803,0.6234898018587333,-0.4999999999999997,-0.8660254037844387,-0.29671281927349014,-0.9549667548552554,8.0,10.0,14.0,,12.142857142857142,3.933978962347215,8.0,16.0,14.571428571428571,6.272213272893336,8.0,26.0,,,,,8.0,6.0,1.0,0.6000000000000001
2NE1_zh.wikipedia.org_all-access_spider,2015-07-20,7.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,30,20,201,0,0.0,1.0,-0.4999999999999997,-0.8660254037844387,-0.31310704093582675,-0.9497178427914318,16.0,14.0,9.0,,11.142857142857142,4.259443290250163,7.0,16.0,14.428571428571429,6.4296702357632105,7.0,26.0,,,,,-9.0,-7.0,-0.5625,-0.5
2NE1_zh.wikipedia.org_all-access_spider,2015-07-21,11.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,30,21,202,0,0.7818314824680299,0.6234898018587335,-0.4999999999999997,-0.8660254037844387,-0.32940848222453023,-0.9441875088341994,7.0,15.0,9.0,,10.571428571428571,3.9096949095440006,7.0,16.0,14.571428571428571,6.321079334737379,7.0,26.0,,,,,4.0,-4.0,0.5714285714285714,-0.2666666666666667
2NE1_zh.wikipedia.org_all-access_spider,2015-07-22,10.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,30,22,203,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,-0.34561231267073333,-0.9383773917408642,11.0,8.0,22.0,,10.857142857142858,3.760699023168051,7.0,16.0,13.714285714285714,6.043796201682559,7.0,26.0,,,,,-1.0,2.0,-0.09090909090909094,0.25
2NE1_zh.wikipedia.org_all-access_spider,2015-07-23,20.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,30,23,204,0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.3617137307297675,-0.9322892131745134,10.0,16.0,26.0,,11.428571428571429,4.825527358301295,7.0,20.0,13.285714285714286,5.268609091424582,7.0,24.0,,,,,10.0,4.0,1.0,0.25
2NE1_zh.wikipedia.org_all-access_spider,2015-07-24,18.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,30,24,205,0,-0.433883739117558,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.3777079652039647,-0.9259247771938498,20.0,8.0,24.0,,12.857142857142858,5.11300861947808,7.0,20.0,12.857142857142858,4.521013209399022,7.0,20.0,,,,,-2.0,10.0,-0.09999999999999998,1.25
2NE1_zh.wikipedia.org_all-access_spider,2015-07-25,15.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,5,Saturday,3,30,25,206,1,-0.9749279121818237,-0.22252093395631461,-0.4999999999999997,-0.8660254037844387,-0.3935902766564665,-0.9192859697186104,18.0,8.0,19.0,,13.857142857142858,4.6700667885506535,7.0,20.0,12.571428571428571,4.219265078446459,7.0,20.0,,,,,-3.0,7.0,-0.16666666666666663,0.875
2NE1_zh.wikipedia.org_all-access_spider,2015-07-26,14.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,6,Sunday,3,30,26,207,1,-0.78183148246803,0.6234898018587333,-0.4999999999999997,-0.8660254037844387,-0.40935595881562115,-0.9123747579707273,15.0,16.0,10.0,,13.571428571428571,4.577377082170635,7.0,20.0,12.857142857142858,4.166849812824716,7.0,20.0,,,,,-1.0,-2.0,-0.06666666666666665,-0.125
2NE1_zh.wikipedia.org_all-access_spider,2015-07-27,49.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,0,Monday,3,31,27,208,0,0.0,1.0,-0.4999999999999997,-0.8660254037844387,-0.42500033996955394,-0.9051931898913974,14.0,7.0,14.0,,19.571428571428573,13.451854182690987,10.0,49.0,15.357142857142858,10.536435996886402,7.0,49.0,,,,,35.0,42.0,2.5,6.0
2NE1_zh.wikipedia.org_all-access_spider,2015-07-28,10.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,1,Tuesday,3,31,28,209,0,0.7818314824680299,0.6234898018587335,-0.4999999999999997,-0.8660254037844387,-0.4405187843504952,-0.8977433935342336,49.0,11.0,15.0,,19.428571428571427,13.562904591287996,10.0,49.0,15.0,10.6337633543785,7.0,49.0,,,,,-39.0,-1.0,-0.7959183673469388,-0.09090909090909094
2NE1_zh.wikipedia.org_all-access_spider,2015-07-29,16.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,2,Wednesday,3,31,29,210,0,0.9749279121818238,-0.22252093395631437,-0.4999999999999997,-0.8660254037844387,-0.45590669350845897,-0.8900275764346764,10.0,10.0,8.0,,20.285714285714285,13.047532151257391,10.0,49.0,15.571428571428571,10.441885224085116,7.0,49.0,,,,,6.0,6.0,0.6000000000000001,0.6000000000000001
2NE1_zh.wikipedia.org_all-access_spider,2015-07-30,18.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,3,Thursday,3,31,30,211,0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.47115950767386394,-0.8820480249558534,16.0,20.0,16.0,,20.0,13.076696830622025,10.0,49.0,15.714285714285714,10.461861662751495,7.0,49.0,15.1,8.251854545996062,5.0,49.0,2.0,-2.0,0.125,-0.09999999999999998
2NE1_zh.wikipedia.org_all-access_spider,2015-07-31,8.0,2NE1,zh.wikipedia.org,all-access,spider,2015,7,4,Friday,3,31,31,212,0,-0.433883739117558,-0.900968867902419,-0.4999999999999997,-0.8660254037844387,-0.48627270710869014,-0.8738071036110807,18.0,18.0,8.0,18.0,18.571428571428573,13.85468804962353,8.0,49.0,15.714285714285714,10.461861662751495,7.0,49.0,14.766666666666667,8.332252803510537,5.0,49.0,-10.0,-10.0,-0.5555555555555556,-0.5555555555555556
2NE1_zh.wikipedia.org_all-access_spider,2015-08-01,5.0,2NE1,zh.wikipedia.org,all-access,spider,2015,8,5,Saturday,3,31,1,213,1,-0.9749279121818237,-0.22252093395631461,-0.8660254037844383,-0.5000000000000003,-0.5012418134457755,-0.8653072543632061,8.0,15.0,8.0,11.0,17.142857142857142,14.769660021234653,5.0,49.0,15.5,10.660855788999594,5.0,49.0,14.566666666666666,8.496178992421498,5.0,49.0,-3.0,-10.0,-0.375,-0.6666666666666667
